regionId: -548817875, index: 1, origin: -2.49942200720025, 2.117817056806465, -0.06754603222654194, normal: -0.006394380735980333, -0.008908651603864814, 0.9999398721031201, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 166515062, index: 1, origin: -2.49942200720025, 2.117817056806465, -0.06754603222654194, normal: -0.006394380735980333, -0.008908651603864814, 0.9999398721031201, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 912379483, index: 1, origin: -5.2798871223372625, -0.8187946883415935, 0.07104710188477936, normal: 0.8683252913581961, 0.20599739055619584, 0.4511942635625389, concave hull size: 10, number of convex polygons: 1, [7]
regionId: -1781007098, index: 1, origin: -5.2798871223372625, -0.8187946883415935, 0.07104710188477936, normal: 0.8683252913581961, 0.20599739055619584, 0.4511942635625389, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 623354812, index: 1, origin: -5.2798871223372625, -0.8187946883415935, 0.07104710188477936, normal: 0.8683252913581961, 0.20599739055619584, 0.4511942635625389, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 2144129991, index: 1, origin: -5.2798871223372625, -0.8187946883415935, 0.07104710188477936, normal: 0.8683252913581961, 0.20599739055619584, 0.4511942635625389, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 1451990753, index: 1, origin: -5.497889754928161, -1.813792445949305, 0.02492210364840146, normal: 0.13294008555235193, 0.10564643026365365, 0.9854774301960854, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 2062040384, index: 1, origin: -5.497889754928161, -1.813792445949305, 0.02492210364840146, normal: 0.13294008555235193, 0.10564643026365365, 0.9854774301960854, concave hull size: 6, number of convex polygons: 1, [4]
regionId: 1418254978, index: 1, origin: -4.1040502507635885, -1.8418556489842999, 1.2158751906232639, normal: -0.07923092653668072, 0.983061537026659, -0.1652648622633429, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 1805224604, index: 1, origin: -5.5616338981522455, -1.3187769885968272, 7.326088368615645E-4, normal: -0.06949583541351115, -0.008458095171908988, 0.997546384628926, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 127387877, index: 1, origin: -5.5616338981522455, -1.3187769885968272, 7.326088368615645E-4, normal: -0.06949583541351115, -0.008458095171908988, 0.997546384628926, concave hull size: 10, number of convex polygons: 1, [6]
regionId: -345943107, index: 1, origin: -5.5616338981522455, -1.3187769885968272, 7.326088368615645E-4, normal: -0.06949583541351115, -0.008458095171908988, 0.997546384628926, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 1860245538, index: 1, origin: -3.1837731454974043, -1.6982225605817596, 0.9984310403048429, normal: -0.24498351712043046, 0.9487509774831597, -0.19963631699681472, concave hull size: 17, number of convex polygons: 1, [11]
