regionId: 1829940957, index: 1, origin: -1.8963371515274048, 2.6813061237335205, 0.88459712266922, normal: 0.8985652144076177, 0.10491169029851265, 0.42611511671765534, concave hull size: 16, number of convex polygons: 1, [7]
regionId: 1909857729, index: 1, origin: -1.5083954334259033, 2.1444621086120605, 0.19818419218063354, normal: -0.90616289516373, 0.09167219471310564, 0.4128740923634819, concave hull size: 14, number of convex polygons: 1, [10]
regionId: 861550285, index: 1, origin: -1.5666000843048096, 1.6521254777908325, 0.10311925411224365, normal: -0.14329862759087425, 0.4734313542348618, 0.8690962295154183, concave hull size: 13, number of convex polygons: 1, [12]
regionId: 2096515627, index: 1, origin: -1.3514907360076904, 2.114656448364258, 0.3833388090133667, normal: -0.5533838786527604, 0.05452550122193391, 0.8311397310703681, concave hull size: 11, number of convex polygons: 1, [10]
regionId: 1372431828, index: 1, origin: -1.892534852027893, 2.5515952110290527, 1.200031042098999, normal: -0.11125129993871566, -0.9909712482971468, -0.07482735669753889, concave hull size: 14, number of convex polygons: 1, [10]
regionId: 379162257, index: 1, origin: -1.8911833763122559, 2.4107556343078613, 1.235260248184204, normal: -0.5058399524941775, -0.8596156981845259, -0.0720193994380575, concave hull size: 13, number of convex polygons: 1, [11]
regionId: 1931190951, index: 1, origin: -1.8828206062316895, 2.8243327140808105, 1.2361036539077759, normal: -0.23701616804330217, -0.9714915026281069, 0.005253228288583234, concave hull size: 18, number of convex polygons: 1, [9]
regionId: 143289407, index: 1, origin: -1.9046062231063843, 2.262186050415039, 1.2508583068847656, normal: 0.09975237200086068, -0.9746888085222482, -0.20007796185907634, concave hull size: 13, number of convex polygons: 1, [10]
regionId: 426207057, index: 1, origin: -1.1143490076065063, 2.197948694229126, 0.09928671270608902, normal: 0.5510438826518947, 0.7645998203500456, 0.3342719762597559, concave hull size: 20, number of convex polygons: 1, [12]
regionId: 504495789, index: 1, origin: -1.3454697132110596, 1.9386799335479736, 0.2916370928287506, normal: -0.29723256325431563, -0.7589317432282138, 0.5793750188451812, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 764786663, index: 1, origin: -1.0771212577819824, 1.9932713508605957, 0.26459285616874695, normal: 0.4252815584622727, 0.20767292575745738, 0.8809129082600834, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 1596618629, index: 1, origin: -1.960296630859375, 2.3129868507385254, 1.1128389835357666, normal: 0.45391226150507213, 0.809699064520792, 0.3719557551235164, concave hull size: 11, number of convex polygons: 1, [7]
regionId: 2103506306, index: 1, origin: 0.6660100221633911, 3.3702192306518555, 0.8885131478309631, normal: -0.006478940186860674, -0.9999533969048022, 0.0071573285939755295, concave hull size: 106, number of convex polygons: 1, [15]
regionId: 2101073464, index: 1, origin: 2.944596290588379, 1.9031777381896973, -0.13195596635341644, normal: -0.30820715672865556, 0.9513151125379988, -0.0028116184045038715, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1756715422, index: 1, origin: -1.5631165504455566, 3.4608044624328613, 0.6733209490776062, normal: 0.861053904893073, -0.508495939178057, 0.004248847822233155, concave hull size: 44, number of convex polygons: 1, [14]
regionId: 1034333974, index: 1, origin: -1.2043415307998657, 2.237774610519409, 0.2965850234031677, normal: 0.9226889489889648, 0.19834388533697586, -0.33061277434949804, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 1034333974, index: 2, origin: -1.2043415307998657, 2.237774610519409, 0.2965850234031677, normal: 0.9226889489889648, 0.19834388533697586, -0.33061277434949804, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 145532440, index: 1, origin: 3.3449385166168213, 3.3121774196624756, 1.3388078212738037, normal: -0.1594644659867052, -0.9849788098457913, 0.06624068419289922, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 709017077, index: 1, origin: -1.7183648347854614, 3.0107500553131104, 0.2854521572589874, normal: 0.6643854380291974, -0.7339950800646909, 0.14086593688887136, concave hull size: 13, number of convex polygons: 1, [9]
