regionId: 885912107, index: 1, origin: -0.19211788475513458, 4.262255668640137, 0.10005586594343185, normal: -0.06212973594665527, 0.048379044979810715, 0.9968948364257812, concave hull size: 27, number of convex polygons: 2, [5, 11]
regionId: 1778116641, index: 1, origin: -0.352331280708313, 8.356352806091309, 0.07990436255931854, normal: -0.08073518425226212, -0.9965580105781555, 0.01881430298089981, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 757556821, index: 1, origin: -1.7634917497634888, 3.88484525680542, 0.10203124582767487, normal: 0.7077483534812927, 0.7064629197120667, -0.001561242388561368, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1462408736, index: 1, origin: -0.581627368927002, 8.45768928527832, 0.07623913139104843, normal: -0.677686870098114, -0.7352390289306641, 0.012808430939912796, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1793872186, index: 1, origin: -0.8601099252700806, 8.741116523742676, 0.10574770718812943, normal: -0.1043950617313385, -0.9944687485694885, 0.011555681936442852, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1453157158, index: 1, origin: 0.41805458068847656, 8.517087936401367, 0.12396399676799774, normal: -7.830207468941808E-4, -0.005690279416739941, 0.9999834895133972, concave hull size: 13, number of convex polygons: 1, [13]
regionId: 282281632, index: 1, origin: 0.012064412236213684, 8.676288604736328, 0.08052688837051392, normal: 0.3003397583961487, -0.9533287882804871, 0.03098784014582634, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 698596729, index: 1, origin: 0.6885718107223511, 8.957138061523438, 0.15557138621807098, normal: -6.942509207874537E-5, -0.0010313309030607343, 0.999999463558197, concave hull size: 13, number of convex polygons: 1, [13]
regionId: 517061354, index: 1, origin: 0.6476269960403442, 8.745320320129395, 0.0798722431063652, normal: -0.0038020876236259937, -0.9999454021453857, 0.009731749072670937, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 336043622, index: 1, origin: 0.7413574457168579, 9.599846839904785, 0.10827797651290894, normal: 0.22146488726139069, -0.9749196171760559, 0.022023692727088928, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 68301430, index: 1, origin: 0.5895365476608276, 9.653755187988281, 0.09045881032943726, normal: -0.7604767084121704, -0.6491093635559082, 0.01822611875832081, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1387811815, index: 1, origin: 2.0581889152526855, 6.43496036529541, 0.3293847441673279, normal: -0.38219141960144043, -0.41258504986763, 0.8268635272979736, concave hull size: 3, number of convex polygons: 1, [3]
