230907 15:20:38:820 [INFO] (PlanarRegionMappingHandler.java:290): [116] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 1.111, Regions: 5, Vertices: 508
230907 15:20:38:940 [INFO] (PlanarRegionMappingHandler.java:290): [117] Statistics: Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.130, Regions: 5, Vertices: 526
230907 15:20:39:062 [INFO] (PlanarRegionMappingHandler.java:290): [118] Statistics: Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 1.170, Regions: 5, Vertices: 505
230907 15:20:39:179 [INFO] (PlanarRegionMappingHandler.java:290): [119] Statistics: Extraction Time: 0.011, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 1.208, Regions: 5, Vertices: 510
230907 15:20:39:307 [INFO] (PlanarRegionMappingHandler.java:290): [120] Statistics: Extraction Time: 0.021, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.027, Area: 1.235, Regions: 5, Vertices: 533
230907 15:20:39:425 [INFO] (PlanarRegionMappingHandler.java:290): [121] Statistics: Extraction Time: 0.012, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.281, Regions: 5, Vertices: 550
230907 15:20:39:554 [INFO] (PlanarRegionMappingHandler.java:290): [122] Statistics: Extraction Time: 0.022, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.027, Area: 1.322, Regions: 5, Vertices: 548
230907 15:20:39:691 [INFO] (PlanarRegionMappingHandler.java:290): [123] Statistics: Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.016, Total Time: 0.036, Area: 1.405, Regions: 6, Vertices: 587
230907 15:20:39:846 [INFO] (PlanarRegionMappingHandler.java:290): [124] Statistics: Extraction Time: 0.031, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.016, Total Time: 0.053, Area: 1.459, Regions: 6, Vertices: 597
230907 15:20:40:093 [INFO] (PlanarRegionMappingHandler.java:290): [126] Statistics: Extraction Time: 0.018, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.006, Total Time: 0.029, Area: 1.659, Regions: 6, Vertices: 615
230907 15:20:40:217 [INFO] (PlanarRegionMappingHandler.java:290): [127] Statistics: Extraction Time: 0.016, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.669, Regions: 6, Vertices: 633
230907 15:20:40:353 [INFO] (PlanarRegionMappingHandler.java:290): [128] Statistics: Extraction Time: 0.019, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.010, Total Time: 0.034, Area: 1.696, Regions: 6, Vertices: 652
230907 15:20:40:478 [INFO] (PlanarRegionMappingHandler.java:290): [129] Statistics: Extraction Time: 0.016, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.024, Area: 1.721, Regions: 6, Vertices: 660
230907 15:20:40:609 [INFO] (PlanarRegionMappingHandler.java:290): [130] Statistics: Extraction Time: 0.023, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.029, Area: 1.749, Regions: 6, Vertices: 679
230907 15:20:40:738 [INFO] (PlanarRegionMappingHandler.java:290): [131] Statistics: Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.005, Total Time: 0.028, Area: 1.757, Regions: 6, Vertices: 688
230907 15:20:40:867 [INFO] (PlanarRegionMappingHandler.java:290): [132] Statistics: Extraction Time: 0.019, Merging Time: 0.006, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.027, Area: 1.762, Regions: 6, Vertices: 696
230907 15:20:40:996 [INFO] (PlanarRegionMappingHandler.java:290): [133] Statistics: Extraction Time: 0.021, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.028, Area: 1.766, Regions: 6, Vertices: 694
230907 15:20:41:125 [INFO] (PlanarRegionMappingHandler.java:290): [134] Statistics: Extraction Time: 0.021, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.027, Area: 1.799, Regions: 6, Vertices: 669
230907 15:20:41:249 [INFO] (PlanarRegionMappingHandler.java:290): [135] Statistics: Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 1.805, Regions: 6, Vertices: 678
230907 15:20:41:375 [INFO] (PlanarRegionMappingHandler.java:290): [136] Statistics: Extraction Time: 0.019, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.025, Area: 1.817, Regions: 6, Vertices: 676
230907 15:20:41:499 [INFO] (PlanarRegionMappingHandler.java:290): [137] Statistics: Extraction Time: 0.016, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.023, Area: 1.821, Regions: 6, Vertices: 680
230907 15:20:41:623 [INFO] (PlanarRegionMappingHandler.java:290): [138] Statistics: Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.828, Regions: 6, Vertices: 683
230907 15:20:41:747 [INFO] (PlanarRegionMappingHandler.java:290): [139] Statistics: Extraction Time: 0.018, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.843, Regions: 6, Vertices: 680
230907 15:20:41:876 [INFO] (PlanarRegionMappingHandler.java:290): [140] Statistics: Extraction Time: 0.022, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.027, Area: 1.872, Regions: 6, Vertices: 672
230907 15:20:42:004 [INFO] (PlanarRegionMappingHandler.java:290): [141] Statistics: Extraction Time: 0.020, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.026, Area: 2.148, Regions: 7, Vertices: 764
