Extraction Time: 0.021, Merging Time: 0.009, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.032, Area: 1.140, Regions: 5, Vertices: 566
Extraction Time: 0.016, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.023, Area: 1.143, Regions: 5, Vertices: 576
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.022, Area: 1.143, Regions: 5, Vertices: 576
Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.022, Area: 1.147, Regions: 5, Vertices: 591
Extraction Time: 0.022, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.027, Area: 1.147, Regions: 5, Vertices: 591
Extraction Time: 0.015, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.021, Area: 1.155, Regions: 5, Vertices: 598
Extraction Time: 0.019, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.026, Area: 1.155, Regions: 5, Vertices: 598
Extraction Time: 0.016, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.164, Regions: 5, Vertices: 597
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 1.164, Regions: 5, Vertices: 597
Extraction Time: 0.012, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.175, Regions: 5, Vertices: 591
Extraction Time: 0.012, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.175, Regions: 5, Vertices: 591
Extraction Time: 0.011, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 1.182, Regions: 5, Vertices: 592
Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.182, Regions: 5, Vertices: 592
Extraction Time: 0.011, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 1.193, Regions: 5, Vertices: 599
Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.196, Regions: 5, Vertices: 628
Extraction Time: 0.012, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 1.201, Regions: 5, Vertices: 613
Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.204, Regions: 5, Vertices: 621
Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.209, Regions: 5, Vertices: 626
Extraction Time: 0.012, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.212, Regions: 5, Vertices: 648
Extraction Time: 0.012, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.271, Regions: 6, Vertices: 684
Extraction Time: 0.017, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.294, Regions: 6, Vertices: 681
Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.309, Regions: 6, Vertices: 685
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 1.336, Regions: 6, Vertices: 658
Extraction Time: 0.011, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 1.352, Regions: 6, Vertices: 672
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 1.366, Regions: 6, Vertices: 671
Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.024, Area: 1.393, Regions: 6, Vertices: 689
Extraction Time: 0.011, Merging Time: 0.007, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.020, Area: 1.425, Regions: 6, Vertices: 707
Extraction Time: 0.011, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 1.446, Regions: 6, Vertices: 704
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.023, Area: 1.457, Regions: 6, Vertices: 707
