regionId: 750196494, index: 1, origin: -1.0963367374975288, -2.6022284102084043, 0.3566688330315831, normal: -0.020477709718460173, 0.007557558729622013, 0.9997617449726384, concave hull size: 10, number of convex polygons: 1, [6]
regionId: 1676032585, index: 1, origin: -2.3515739086511984, -4.2742455113041515, 1.6357242024696628, normal: -0.06878503020635465, 0.9915451008758054, 0.11003150707274605, concave hull size: 15, number of convex polygons: 1, [8]
regionId: 909459187, index: 1, origin: -1.1824533733828322, -2.5717741867591597, 0.1990167020723738, normal: 0.020649633584940662, 0.1897542753924158, 0.9816144393819332, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1026205947, index: 1, origin: -2.73644315962698, -1.328538936727187, 0.13072928497750386, normal: 0.9840106952043973, 0.17659094217784657, 0.023207560494351354, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 467641253, index: 1, origin: -3.144704760927143, -2.379690910830642, 0.007036648834676301, normal: -0.044127727192163936, 0.26411804631142793, 0.9634803585468095, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 82361932, index: 1, origin: -3.2909369724137454, -2.520928621292115, 0.005333973072993104, normal: 0.11332347198428158, -0.4662016943426966, 0.8773903184383941, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 690785597, index: 1, origin: -3.3935331668493878, -2.115691438411017, 0.002184763681084948, normal: -0.006102082982880566, 0.2596481481416991, 0.9656840082293258, concave hull size: 22, number of convex polygons: 1, [9]
regionId: 918276067, index: 1, origin: -0.48585990497044146, -1.9478449940681457, 0.2219549047095435, normal: -0.9896563004639368, -0.14343691999500505, 0.0025013864916723083, concave hull size: 12, number of convex polygons: 1, [7]
regionId: 111714808, index: 1, origin: -2.3929604712654564, -4.276463725987603, 0.16700545019086674, normal: -0.1103546550772938, 0.0036742228620439276, 0.9938854814258691, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 1951274050, index: 1, origin: -0.4333527005381055, -3.15487825870514, 0.3698052609408343, normal: -0.02405274364808889, -0.020838848774776996, 0.9994934756689217, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 1301256096, index: 1, origin: -2.0628172410161865, -3.368061464083821, 0.024477828594267757, normal: 0.2253715670321007, -0.08960444184243727, 0.97014364955691, concave hull size: 17, number of convex polygons: 1, [9]
regionId: 1073939766, index: 1, origin: -0.5054132933728396, -1.249985516071319, 0.24607540201395756, normal: -0.05049112959313096, -0.008007470758385767, 0.9986924082241054, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 2133393285, index: 1, origin: -2.906925099737504, -3.3683340865022995, 0.032905649893698, normal: -0.02312959549411591, -0.00280659662675921, 0.9997285355673575, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 550047743, index: 1, origin: -1.4050499598185224, -2.071957127720702, 0.15912427884690905, normal: -0.0939509791442469, -0.07378396220423818, 0.9928389297561215, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 688518308, index: 1, origin: -1.2529059270071603, -2.947697185334705, 0.4916984249675085, normal: 0.2047198216803338, 0.07017548624438445, 0.9763017954206253, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 1541073726, index: 1, origin: -2.5178554985258317, -2.4285207103799897, 0.22836570607291323, normal: 0.9746749709488227, 0.20427376304316736, 0.09099961943928958, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 812955534, index: 1, origin: -3.50276287287882, -1.938167746752909, 0.004237422089430117, normal: 0.020991585264057616, 0.22488348929702132, 0.974159519580699, concave hull size: 3, number of convex polygons: 1, [3]
