pdd_x_world,pdd_y_world,pdd_z_world
-0.011875764,0.008673615,0.034680497
0.022125745,-0.042659972,0.002065578
-0.05759209,0.030141678,-0.005277453
-0.05759209,0.030141678,-0.005277453
0.089359559,-0.024433775,0.030564295
0.017453847,-0.054583274,0.038237769
-0.065445431,-0.038159173,0.011603586
-0.065445431,-0.038159173,0.011603586
-0.002190929,-0.005480027,0.035210572
0.005665035,-0.022937151,0.065175518
-0.011406159,0.037891302,-0.023403957
-0.011406159,0.037891302,-0.023403957
0.013668026,-0.066812001,0.019763548
0.019453701,-0.083980732,0.076641113
-0.051370528,0.022409989,-0.002120168
-0.051370528,0.022409989,-0.002120168
-0.00723376,-0.039389648,-0.011328421
-0.045868725,-0.009091184,0.016603554
0.043920375,0.006233036,0.010895853
0.043920375,0.006233036,0.010895853
0.038095638,-0.084847681,-0.009213584
-0.035395823,-0.032605905,0.006486707
0.01225159,-0.006585718,0.039557721
0.01225159,-0.006585718,0.039557721
-0.011266286,-0.023278389,-5.23E-04
-0.038599804,0.033648055,0.017682647
0.068878032,-0.03193856,0.016398827
0.068878032,-0.03193856,0.016398827
0.021773985,-0.070105955,0.023704337
-0.079515554,0.024781279,-0.041163228
2.84E-04,0.004532977,0.018714402
2.84E-04,0.004532977,0.018714402
-0.002457625,-0.008619568,0.032854691
0.009799785,0.048704207,-0.013192453
0.034581482,-0.071722023,0.005210788
0.034581482,-0.071722023,0.005210788
0.010744683,-0.065066278,0.047879323
-0.05172709,4.22E-04,0.021707892
0.010366863,-0.014452926,-0.002436807
0.010366863,-0.014452926,-0.002436807
-0.044786636,0.006576317,0.008483565
0.055145293,0.020614572,0.040348154
0.045362897,-0.025893787,-0.023351803
0.045362897,-0.025893787,-0.023351803
-0.037905142,-0.04438258,-0.014722641
-0.0179864,0.006419031,-9.29E-04
-0.014010043,-0.05581025,0.005741775
-0.014010043,-0.05581025,0.005741775
-0.023247145,0.021887777,-0.029970922
0.040849976,-0.043464672,0.010539577
-0.02098708,-0.084798008,0.011286595
-0.02098708,-0.084798008,0.011286595
9.90E-05,0.043115146,0.002628905
-0.003988168,-0.004496406,0.006123647
-0.02002147,8.14E-04,0.05519186
-0.02002147,8.14E-04,0.05519186
0.051466778,0.002493708,-0.022818621
0.041866217,-0.064528316,0.007523905
0.005155799,-0.036717702,0.059511028
0.005155799,-0.036717702,0.059511028
0.010440014,0.015467495,0.037458267
-0.004295174,-0.017401312,-0.0309845
-0.0370197,-0.005027943,-6.82E-04
-0.0370197,-0.005027943,-6.82E-04
0.038842794,-0.007603082,0.0481387
0.068277143,-0.038542602,0.008113728
-0.055076081,-0.001020031,0.003922446
-0.055076081,-0.001020031,0.003922446
0.017831089,0.008783727,0.016271906
-0.011736909,-0.017590281,0.012440631
-0.058739047,0.004019851,-0.017645696
-0.058739047,0.004019851,-0.017645696
0.054801445,-0.033298548,-0.038800672
0.00973703,-0.074367046,0.030184586
-0.06649527,1.24E-04,-0.02614365
-0.06649527,1.24E-04,-0.02614365
-0.029047387,0.019625118,-0.015773036
-0.049408257,-0.007143173,0.022920759
0.01601189,0.003939189,-0.032935128
0.01601189,0.003939189,-0.032935128
0.036235616,-0.028384386,-0.010006508
-0.039775461,-0.03893052,0.026473502
-0.022861149,0.037508503,0.031176273
-0.022861149,0.037508503,0.031176273
3.92E-04,0.0271635,-0.007731684
-0.011454615,0.018808635,0.00250914
0.037835263,-0.03320903,0.015299114
0.037835263,-0.03320903,0.015299114
0.055459145,-0.047000609,2.88E-04
-0.075948782,0.01030148,-0.008624132
-0.003297871,0.020018527,0.032845397
-0.003297871,0.020018527,0.032845397
-0.014461739,-0.037397288,0.024259346
0.001783325,0.011270068,-0.058373298
0.073343806,-0.038455009,-0.015729688
0.073343806,-0.038455009,-0.015729688
0.03234018,-0.070122942,0.053597923
-0.023889232,0.024431601,-0.024165984
0.030880554,-0.005628182,0.005286143
0.030880554,-0.005628182,0.005286143
-0.035593126,0.027589826,0.029253922
0.023583785,-0.021695983,0.001982397
0.037238985,-0.030412592,-0.030874696
0.037238985,-0.030412592,-0.030874696
-0.036373489,-0.012343431,-0.013932182
-0.025009321,-0.002861212,0.023015231
-0.019576654,-0.014880434,-0.017237352
-0.019576654,-0.014880434,-0.017237352
-0.025123762,0.010873895,-0.005378113
0.073769942,-0.045433506,0.008729911
0.018129705,-0.083533138,0.017072752
0.018129705,-0.083533138,0.017072752
-0.063544393,0.021483965,-0.015480218
0.001736282,0.006520905,0.02304627
-0.046949022,-0.024420388,0.021783933
-0.046949022,-0.024420388,0.021783933
-0.004501204,0.01670724,-0.016552927
0.04042856,-0.047048829,-0.025815858
0.02830822,-0.081802882,0.058175217
0.02830822,-0.081802882,0.058175217
-0.01373217,0.021043928,0.00984887
0.033021066,0.019729672,0.013813792
-0.019471047,-0.008645528,0.029850211
-0.019471047,-0.008645528,0.029850211
0.041892085,0.012186562,0.046895251
0.042093974,-0.030751068,-0.012075226
-0.022497775,0.019299682,-0.031368781
-0.022497775,0.019299682,-0.031368781
0.003845036,-0.009742351,0.029465912
-0.005149852,-0.028146205,0.014303975
-0.077232748,0.036883447,-0.001009025
-0.077232748,0.036883447,-0.001009025
0.043315426,-0.087730855,0.021363879
0.018415507,-0.084715866,-0.00113151
-0.059875138,-0.017824754,0.026681749
-0.059875138,-0.017824754,0.026681749
-0.015468996,0.043482933,0.011569545
-0.012208095,0.003911801,0.033224396
0.020442437,0.00497428,4.26E-05
0.020442437,0.00497428,4.26E-05
0.03834847,-0.073683679,-0.006522608
0.011721168,-0.027616614,0.025366973
-0.059156228,0.028548207,-0.012784296
-0.059156228,0.028548207,-0.012784296
6.40E-04,0.020116251,-0.013864509
-0.01537467,0.029166488,0.005912396
0.033872444,0.002291004,-0.008946047
0.033872444,0.002291004,-0.008946047
0.012151374,-0.058399957,-0.007635491
-0.068418734,-0.003129117,-0.008190027
-0.01441182,-0.001178829,0.056507286
-0.01441182,-0.001178829,0.056507286
-0.020818556,-0.03933512,0.032100648
-0.05450514,0.049958479,-0.007050993
0.04064253,-0.067849003,0.03401294
0.04064253,-0.067849003,0.03401294
0.026906157,-0.091051869,0.023279408
-0.045625497,-0.002754906,-0.00618241
0.014841443,0.026496595,0.032471977
0.014841443,0.026496595,0.032471977
-0.006041291,4.30E-04,0.039698742
0.010646044,0.039010704,-0.004999951
0.05444539,-0.065588221,0.001921506
0.05444539,-0.065588221,0.001921506
-0.006498437,-0.067208961,0.032568812
-0.024860486,0.016969526,-0.001004773
5.95E-06,-0.041220337,5.24E-04
5.95E-06,-0.041220337,5.24E-04
-0.038221903,0.045114394,0.009261682
0.052409362,0.00992741,0.019914784
0.026242994,-0.020846708,-0.050841443
0.026242994,-0.020846708,-0.050841443
-0.052132893,-0.013017918,0.008260123
-0.012804647,0.019892981,0.021545881
0.031323396,-0.026451573,0.021455133
0.031323396,-0.026451573,0.021455133
-0.029924192,0.072504319,-0.040116385
0.053117976,-0.024043115,0.006547641
-0.001155204,-0.046054427,0.044422265
-0.001155204,-0.046054427,0.044422265
-0.035451517,0.01816057,2.28E-04
2.30E-04,0.012967222,-3.47E-04
-0.028877275,-0.002134437,0.04014523
-0.028877275,-0.002134437,0.04014523
-0.007442961,0.045134421,-0.032155253
0.078801215,-0.049730871,-0.013853978
-0.016235856,-0.031262003,0.029990032
-0.016235856,-0.031262003,0.029990032
-0.035917774,0.04118631,0.026095366
-0.008182379,-0.013410312,-0.017687563
-0.004989328,0.024177691,0.039887756
-0.004989328,0.024177691,0.039887756
